customer_id,price_sensitivity,quality_expectations,travel_frequency,avg_spend_per_night,avg_nights_stay,avg_lead_time,cancellation_rate,avg_overall_rating,Cluster,Segment_Name
CUST-000093,0.412,0.679,14,470.52,4.5,68.5,0.0,4.0,0,"Happy VIP (High Spend, High Sat)"
CUST-000094,0.806,0.26,4,134.9425,1.75,9.25,0.0,4.333333333333333,2,"Budget Explorer (Low Spend, Good Sat)"
CUST-000095,0.206,0.804,8,408.44,5.333333333333333,102.66666666666667,0.0,4.0,0,"Happy VIP (High Spend, High Sat)"
CUST-000096,0.424,0.654,10,407.18,4.0,60.0,0.0,4.0,0,"Happy VIP (High Spend, High Sat)"
CUST-000097,0.304,0.794,8,440.28999999999996,4.5,71.5,0.0,4.0,0,"Happy VIP (High Spend, High Sat)"
CUST-000098,0.103,0.793,8,434.59000000000003,6.714285714285714,58.857142857142854,0.14285714285714285,3.0,3,"At-Risk VIP (High Spend, Low Sat)"
CUST-000099,0.106,0.766,12,366.88,3.0,81.5,0.0,3.0,3,"At-Risk VIP (High Spend, Low Sat)"
CUST-000100,0.394,0.638,9,390.4325,5.0,66.0,0.0,4.0,0,"Happy VIP (High Spend, High Sat)"
CUST-000101,0.295,0.799,10,373.75499999999994,5.5,87.66666666666667,0.0,4.0,0,"Happy VIP (High Spend, High Sat)"
CUST-000102,0.495,0.636,8,177.53,4.5,60.0,0.0,4.0,1,"Standard Guest (Mid Spend, Mid Sat)"
CUST-000103,0.428,0.64,9,438.55499999999995,5.25,62.25,0.0,4.0,0,"Happy VIP (High Spend, High Sat)"
CUST-000104,0.581,0.533,2,197.36333333333334,2.5,87.5,0.0,4.5,1,"Standard Guest (Mid Spend, Mid Sat)"
CUST-000105,0.873,0.372,3,106.40666666666668,1.6666666666666667,12.0,0.0,4.0,2,"Budget Explorer (Low Spend, Good Sat)"
CUST-000107,0.834,0.227,4,217.54,1.3333333333333333,33.333333333333336,0.3333333333333333,4.0,2,"Budget Explorer (Low Spend, Good Sat)"
CUST-000108,0.547,0.504,3,145.03666666666666,2.6666666666666665,47.666666666666664,0.3333333333333333,3.5,1,"Standard Guest (Mid Spend, Mid Sat)"
CUST-000109,0.64,0.609,4,166.935,3.0,51.5,0.0,4.0,1,"Standard Guest (Mid Spend, Mid Sat)"
CUST-000110,0.574,0.62,6,184.185,2.75,59.0,0.0,4.0,1,"Standard Guest (Mid Spend, Mid Sat)"
CUST-000111,0.508,0.591,3,148.1966666666667,2.0,57.333333333333336,0.0,4.333333333333333,1,"Standard Guest (Mid Spend, Mid Sat)"
CUST-000112,0.894,0.26,5,172.90666666666667,1.0,25.0,0.0,4.0,2,"Budget Explorer (Low Spend, Good Sat)"
CUST-000113,0.4,0.71,9,439.36199999999997,6.0,57.4,0.0,4.0,0,"Happy VIP (High Spend, High Sat)"
CUST-000114,0.313,0.767,9,339.9,4.0,68.0,0.0,4.0,0,"Happy VIP (High Spend, High Sat)"
CUST-000115,0.306,0.728,8,459.105,6.25,63.0,0.0,3.5,3,"At-Risk VIP (High Spend, Low Sat)"
CUST-000116,0.244,0.753,9,395.9225,5.75,74.0,0.0,3.8,0,"Happy VIP (High Spend, High Sat)"
CUST-000117,0.449,0.778,12,369.166,4.4,58.2,0.0,3.0,3,"At-Risk VIP (High Spend, Low Sat)"
CUST-000118,0.467,0.616,11,415.2,4.8,66.2,0.0,4.5,0,"Happy VIP (High Spend, High Sat)"
CUST-000119,0.139,0.881,11,320.9375,7.75,64.25,0.0,3.0,3,"At-Risk VIP (High Spend, Low Sat)"
CUST-000120,0.515,0.635,4,172.34333333333333,3.0,43.333333333333336,0.3333333333333333,4.0,1,"Standard Guest (Mid Spend, Mid Sat)"
CUST-000121,0.626,0.632,4,223.62,2.6666666666666665,66.66666666666667,0.0,4.0,1,"Standard Guest (Mid Spend, Mid Sat)"
CUST-000122,0.603,0.627,6,215.90999999999997,2.5,73.5,0.0,3.6,1,"Standard Guest (Mid Spend, Mid Sat)"
CUST-000123,0.253,0.935,9,463.45,7.666666666666667,58.666666666666664,0.0,3.75,0,"Happy VIP (High Spend, High Sat)"
CUST-000124,0.946,0.349,2,118.78,1.8,13.6,0.2,3.6666666666666665,2,"Budget Explorer (Low Spend, Good Sat)"
CUST-000125,0.343,0.663,10,405.99333333333334,5.0,52.333333333333336,0.0,4.0,0,"Happy VIP (High Spend, High Sat)"
CUST-000126,0.589,0.528,4,137.09166666666667,2.5,62.0,0.0,3.5,1,"Standard Guest (Mid Spend, Mid Sat)"
CUST-000127,0.18,0.934,7,355.68,6.0,75.0,0.0,3.3333333333333335,3,"At-Risk VIP (High Spend, Low Sat)"
CUST-000128,0.872,0.344,2,118.07,1.6666666666666667,19.0,0.0,4.0,2,"Budget Explorer (Low Spend, Good Sat)"
CUST-000129,0.895,0.43,5,105.6275,1.5,5.75,0.25,3.6666666666666665,2,"Budget Explorer (Low Spend, Good Sat)"
CUST-000130,0.574,0.545,8,166.102,5.0,42.8,0.0,3.4,1,"Standard Guest (Mid Spend, Mid Sat)"
CUST-000131,0.776,0.21,3,163.68,1.0,40.0,0.0,4.25,2,"Budget Explorer (Low Spend, Good Sat)"
CUST-000132,0.246,0.829,7,331.88,2.5,77.5,0.0,3.0,3,"At-Risk VIP (High Spend, Low Sat)"
CUST-000133,0.179,0.776,10,457.01000000000005,5.6,66.2,0.0,3.75,0,"Happy VIP (High Spend, High Sat)"
CUST-000134,0.6,0.587,6,226.105,2.25,68.25,0.0,4.0,1,"Standard Guest (Mid Spend, Mid Sat)"
CUST-000135,0.23,0.789,7,399.08,5.0,80.0,0.0,4.5,0,"Happy VIP (High Spend, High Sat)"
CUST-000136,0.186,0.887,9,350.3633333333333,5.666666666666667,88.0,0.0,3.5,3,"At-Risk VIP (High Spend, Low Sat)"
CUST-000137,0.364,0.719,15,424.405,5.5,71.0,0.0,3.8,0,"Happy VIP (High Spend, High Sat)"
CUST-000138,0.409,0.664,3,233.32000000000002,2.3333333333333335,47.666666666666664,0.0,4.0,1,"Standard Guest (Mid Spend, Mid Sat)"
CUST-000139,0.224,0.78,11,441.8433333333333,7.666666666666667,82.66666666666667,0.0,3.75,0,"Happy VIP (High Spend, High Sat)"
CUST-000140,0.618,0.566,6,227.23777777777778,1.8888888888888888,71.22222222222223,0.0,4.166666666666667,1,"Standard Guest (Mid Spend, Mid Sat)"
CUST-000141,0.498,0.739,12,355.77,5.0,70.0,0.0,3.8,0,"Happy VIP (High Spend, High Sat)"
CUST-000142,0.55,0.639,2,104.59,2.0,59.0,0.0,4.0,1,"Standard Guest (Mid Spend, Mid Sat)"
CUST-000143,0.433,0.783,14,404.48,4.0,69.0,0.0,4.0,0,"Happy VIP (High Spend, High Sat)"
CUST-000144,0.827,0.377,2,146.64999999999998,1.5,26.5,0.0,4.2,2,"Budget Explorer (Low Spend, Good Sat)"
CUST-000145,0.593,0.612,5,154.87333333333333,2.0,68.0,0.0,3.0,1,"Standard Guest (Mid Spend, Mid Sat)"
CUST-000146,0.739,0.287,4,159.8625,1.5,22.75,0.0,4.0,2,"Budget Explorer (Low Spend, Good Sat)"
CUST-000147,0.92,0.423,4,166.17000000000002,1.0,18.5,0.0,4.5,2,"Budget Explorer (Low Spend, Good Sat)"
CUST-000148,0.579,0.631,6,147.802,2.4,55.0,0.0,4.0,1,"Standard Guest (Mid Spend, Mid Sat)"
CUST-000149,0.185,0.812,7,496.93,6.0,90.0,0.0,3.75,3,"At-Risk VIP (High Spend, Low Sat)"
CUST-000150,0.208,0.91,9,514.515,7.166666666666667,85.16666666666667,0.0,3.0,3,"At-Risk VIP (High Spend, Low Sat)"
CUST-000151,0.413,0.632,10,293.51166666666666,4.5,70.0,0.16666666666666666,3.75,0,"Happy VIP (High Spend, High Sat)"
CUST-000152,0.129,0.756,8,420.86999999999995,6.333333333333333,71.0,0.0,3.25,3,"At-Risk VIP (High Spend, Low Sat)"
CUST-000153,0.464,0.727,9,169.64,4.0,66.0,1.0,3.8,1,"Standard Guest (Mid Spend, Mid Sat)"
CUST-000154,0.252,0.872,10,319.03499999999997,4.0,86.5,0.0,3.75,3,"At-Risk VIP (High Spend, Low Sat)"
CUST-000155,0.707,0.22,5,156.24,1.0,50.0,0.0,4.0,2,"Budget Explorer (Low Spend, Good Sat)"
CUST-000156,0.27,0.848,9,401.4225,5.25,72.0,0.0,3.75,0,"Happy VIP (High Spend, High Sat)"
CUST-000157,0.29,0.795,6,326.75,5.0,92.0,0.0,4.5,0,"Happy VIP (High Spend, High Sat)"
CUST-000158,0.497,0.773,11,395.485,4.75,73.25,0.0,4.0,0,"Happy VIP (High Spend, High Sat)"
CUST-000159,0.108,0.897,10,313.94,7.0,79.0,0.0,3.0,3,"At-Risk VIP (High Spend, Low Sat)"
CUST-000160,0.707,0.508,2,167.54,1.5,52.0,0.0,4.0,1,"Standard Guest (Mid Spend, Mid Sat)"
CUST-000161,0.426,0.61,12,354.98285714285714,5.142857142857143,64.0,0.0,4.0,0,"Happy VIP (High Spend, High Sat)"
CUST-000162,0.159,0.934,12,446.76,5.0,72.0,0.0,3.6666666666666665,3,"At-Risk VIP (High Spend, Low Sat)"
CUST-000163,0.4,0.636,14,294.5525,5.75,58.5,0.0,3.75,0,"Happy VIP (High Spend, High Sat)"
CUST-000164,0.305,0.691,9,451.59999999999997,6.25,65.0,0.0,4.0,0,"Happy VIP (High Spend, High Sat)"
CUST-000165,0.662,0.642,2,238.66,1.0,74.0,0.0,4.0,1,"Standard Guest (Mid Spend, Mid Sat)"
CUST-000166,0.117,0.891,9,408.6133333333334,6.0,63.0,0.0,4.0,0,"Happy VIP (High Spend, High Sat)"
CUST-000167,0.892,0.428,3,107.54,1.5,12.5,0.0,3.3333333333333335,2,"Budget Explorer (Low Spend, Good Sat)"
CUST-000168,0.878,0.305,4,109.05,2.0,11.0,1.0,3.0,2,"Budget Explorer (Low Spend, Good Sat)"
CUST-000170,0.701,0.421,5,124.65500000000002,2.1666666666666665,21.0,0.0,3.0,2,"Budget Explorer (Low Spend, Good Sat)"
CUST-000171,0.42,0.601,8,406.75,5.333333333333333,89.33333333333333,0.3333333333333333,4.333333333333333,0,"Happy VIP (High Spend, High Sat)"
CUST-000172,0.531,0.507,5,159.93,4.0,40.0,0.0,4.0,1,"Standard Guest (Mid Spend, Mid Sat)"
CUST-000173,0.804,0.245,3,152.834,1.6,16.8,0.2,4.0,2,"Budget Explorer (Low Spend, Good Sat)"
CUST-000174,0.372,0.607,9,346.19,6.0,60.0,0.0,4.0,0,"Happy VIP (High Spend, High Sat)"
CUST-000175,0.313,0.694,14,446.51666666666665,6.0,60.0,0.0,4.0,0,"Happy VIP (High Spend, High Sat)"
CUST-000176,0.752,0.215,2,91.86,2.0,9.0,1.0,4.0,2,"Budget Explorer (Low Spend, Good Sat)"
CUST-000177,0.521,0.658,5,191.34,1.5,38.25,0.0,3.75,1,"Standard Guest (Mid Spend, Mid Sat)"
CUST-000178,0.656,0.685,5,287.365,4.5,71.0,0.0,4.0,1,"Standard Guest (Mid Spend, Mid Sat)"
CUST-000179,0.147,0.808,11,385.145,7.25,86.75,0.0,3.5,3,"At-Risk VIP (High Spend, Low Sat)"
CUST-000180,0.552,0.623,6,255.465,3.5,74.5,0.5,3.5,1,"Standard Guest (Mid Spend, Mid Sat)"
CUST-000181,0.55,0.556,2,162.63,3.0,60.0,0.0,4.0,1,"Standard Guest (Mid Spend, Mid Sat)"
CUST-000182,0.785,0.381,3,95.265,1.0,29.0,0.0,4.0,2,"Budget Explorer (Low Spend, Good Sat)"
CUST-000183,0.284,0.846,9,480.342,6.0,81.2,0.0,4.0,0,"Happy VIP (High Spend, High Sat)"
CUST-000184,0.723,0.607,2,181.27499999999998,1.5,64.5,0.0,4.0,1,"Standard Guest (Mid Spend, Mid Sat)"
CUST-000185,0.513,0.636,5,164.66333333333333,3.3333333333333335,62.333333333333336,0.0,3.6666666666666665,1,"Standard Guest (Mid Spend, Mid Sat)"
CUST-000186,0.456,0.506,7,171.715,6.5,44.0,0.0,4.0,1,"Standard Guest (Mid Spend, Mid Sat)"
CUST-000187,0.849,0.416,2,99.46,1.5,18.0,0.0,3.0,2,"Budget Explorer (Low Spend, Good Sat)"
CUST-000188,0.499,0.548,7,195.35999999999999,2.3333333333333335,33.333333333333336,0.0,3.0,1,"Standard Guest (Mid Spend, Mid Sat)"
CUST-000189,0.594,0.507,5,96.44,3.5,85.0,0.0,3.5,1,"Standard Guest (Mid Spend, Mid Sat)"
CUST-000190,0.168,0.847,7,423.25,7.0,100.0,0.0,3.5,3,"At-Risk VIP (High Spend, Low Sat)"
CUST-000191,0.735,0.635,5,286.688,2.0,65.8,0.0,3.0,1,"Standard Guest (Mid Spend, Mid Sat)"
CUST-000193,0.121,0.903,11,363.28,6.0,99.5,0.0,3.0,3,"At-Risk VIP (High Spend, Low Sat)"
CUST-000195,0.323,0.792,13,553.39,5.666666666666667,85.66666666666667,0.0,4.0,0,"Happy VIP (High Spend, High Sat)"
CUST-000196,0.676,0.557,6,261.56666666666666,3.0,66.66666666666667,0.0,4.0,1,"Standard Guest (Mid Spend, Mid Sat)"
CUST-000197,0.707,0.426,5,112.00399999999999,1.8,25.0,0.0,3.8,2,"Budget Explorer (Low Spend, Good Sat)"
CUST-000198,0.519,0.619,5,180.765,1.5,51.0,0.0,3.3333333333333335,1,"Standard Guest (Mid Spend, Mid Sat)"
CUST-000199,0.678,0.634,6,301.02666666666664,2.3333333333333335,71.33333333333333,0.0,4.0,1,"Standard Guest (Mid Spend, Mid Sat)"
CUST-000200,0.901,0.375,5,144.88333333333333,2.0,9.666666666666666,0.0,4.0,2,"Budget Explorer (Low Spend, Good Sat)"
CUST-000201,0.556,0.672,3,214.805,2.75,64.75,0.25,3.5,1,"Standard Guest (Mid Spend, Mid Sat)"
CUST-000202,0.915,0.281,4,131.65666666666667,1.6666666666666667,23.0,0.0,4.0,2,"Budget Explorer (Low Spend, Good Sat)"
CUST-000203,0.434,0.654,6,258.925,2.5,49.0,0.0,3.5,1,"Standard Guest (Mid Spend, Mid Sat)"
CUST-000204,0.23,0.908,7,357.615,6.5,82.75,0.0,3.5,3,"At-Risk VIP (High Spend, Low Sat)"
CUST-000205,0.74,0.321,5,169.2825,1.25,18.75,0.25,4.0,2,"Budget Explorer (Low Spend, Good Sat)"
CUST-000206,0.586,0.639,2,180.88,3.0,72.0,0.0,3.0,1,"Standard Guest (Mid Spend, Mid Sat)"
CUST-000207,0.781,0.224,2,77.36,1.0,43.0,0.0,4.0,2,"Budget Explorer (Low Spend, Good Sat)"
CUST-000208,0.419,0.764,9,203.4,7.0,55.0,0.0,3.6666666666666665,0,"Happy VIP (High Spend, High Sat)"
CUST-000209,0.477,0.781,10,572.7266666666667,5.333333333333333,76.66666666666667,0.0,3.0,3,"At-Risk VIP (High Spend, Low Sat)"
CUST-000210,0.478,0.616,5,207.62600000000003,2.6,47.2,0.2,3.3333333333333335,1,"Standard Guest (Mid Spend, Mid Sat)"
CUST-000211,0.734,0.644,6,140.01,1.0,57.0,0.0,4.0,1,"Standard Guest (Mid Spend, Mid Sat)"
CUST-000212,0.471,0.612,13,180.62,5.5,55.5,0.0,4.0,0,"Happy VIP (High Spend, High Sat)"
CUST-000213,0.716,0.547,5,150.3,2.0,22.0,0.0,3.6666666666666665,2,"Budget Explorer (Low Spend, Good Sat)"
CUST-000214,0.209,0.882,12,316.28,6.666666666666667,86.66666666666667,0.0,3.3333333333333335,3,"At-Risk VIP (High Spend, Low Sat)"
CUST-000215,0.539,0.699,2,223.89000000000001,2.8,74.0,0.0,3.6666666666666665,1,"Standard Guest (Mid Spend, Mid Sat)"
CUST-000216,0.622,0.587,5,250.60666666666665,3.3333333333333335,82.0,0.0,3.5,1,"Standard Guest (Mid Spend, Mid Sat)"
CUST-000217,0.521,0.585,6,182.395,3.5,55.833333333333336,0.0,4.0,1,"Standard Guest (Mid Spend, Mid Sat)"
CUST-000218,0.385,0.601,14,438.815,7.0,56.0,0.0,3.5,0,"Happy VIP (High Spend, High Sat)"
CUST-000219,0.708,0.209,5,155.535,1.5,17.5,0.0,4.5,2,"Budget Explorer (Low Spend, Good Sat)"
CUST-000220,0.883,0.446,2,93.06,1.0,4.0,0.0,4.0,2,"Budget Explorer (Low Spend, Good Sat)"
CUST-000221,0.522,0.594,6,171.1575,1.75,65.0,0.0,3.0,1,"Standard Guest (Mid Spend, Mid Sat)"
CUST-000222,0.523,0.681,7,274.3225,3.25,66.25,0.0,3.5,1,"Standard Guest (Mid Spend, Mid Sat)"
CUST-000223,0.783,0.288,2,137.885,1.5,5.0,0.0,4.2,2,"Budget Explorer (Low Spend, Good Sat)"
CUST-000224,0.245,0.863,10,422.59,6.0,81.0,0.0,3.25,3,"At-Risk VIP (High Spend, Low Sat)"
CUST-000225,0.773,0.384,2,112.81142857142858,1.8571428571428572,13.0,0.0,4.0,2,"Budget Explorer (Low Spend, Good Sat)"
CUST-000226,0.854,0.269,3,119.36333333333334,2.3333333333333335,21.666666666666668,0.3333333333333333,3.8333333333333335,2,"Budget Explorer (Low Spend, Good Sat)"
